total ion current	scan time	filter string	id	base peak intensity	ms level	charge state	charge	mz
1979568.5	1.794295	FTMS + p NSI Full ms [335.00-1800.00]	113	229754.21875	1.0	N/A	N/A	N/A
1881256.75	1.81	FTMS + p NSI Full ms [335.00-1800.00]	114	211740.359375	1.0	N/A	N/A	N/A
1582988.625	1.82582333333	FTMS + p NSI Full ms [335.00-1800.00]	115	169244.21875	1.0	N/A	N/A	N/A
1592144.25	1.84216333333	FTMS + p NSI Full ms [335.00-1800.00]	116	188063.6875	1.0	N/A	N/A	N/A
1688414.125	1.85842333333	FTMS + p NSI Full ms [335.00-1800.00]	117	195272.515625	1.0	N/A	N/A	N/A
1952685.625	1.87465833333	FTMS + p NSI Full ms [335.00-1800.00]	118	188304.265625	1.0	N/A	N/A	N/A
1646431.75	1.89081833333	FTMS + p NSI Full ms [335.00-1800.00]	119	171027.90625	1.0	N/A	N/A	N/A
1600218.125	1.90694833333	FTMS + p NSI Full ms [335.00-1800.00]	120	142618.140625	1.0	N/A	N/A	N/A
1536724.125	1.92310166667	FTMS + p NSI Full ms [335.00-1800.00]	121	204024.1875	1.0	N/A	N/A	N/A
1503870.625	1.939245	FTMS + p NSI Full ms [335.00-1800.00]	122	179664.25	1.0	N/A	N/A	N/A
1582557.5	1.95579666667	FTMS + p NSI Full ms [335.00-1800.00]	123	181181.5625	1.0	N/A	N/A	N/A
1699051.875	1.971735	FTMS + p NSI Full ms [335.00-1800.00]	124	208454.03125	1.0	N/A	N/A	N/A
1627875.75	1.98775166667	FTMS + p NSI Full ms [335.00-1800.00]	125	163816.53125	1.0	N/A	N/A	N/A
1724278.375	2.00391	FTMS + p NSI Full ms [335.00-1800.00]	126	203527.28125	1.0	N/A	N/A	N/A
1697474.625	2.02001	FTMS + p NSI Full ms [335.00-1800.00]	127	163642.5625	1.0	N/A	N/A	N/A
1681430.25	2.036065	FTMS + p NSI Full ms [335.00-1800.00]	128	180534.65625	1.0	N/A	N/A	N/A
1777463.625	2.05232666667	FTMS + p NSI Full ms [335.00-1800.00]	129	215154.546875	1.0	N/A	N/A	N/A
1685155.625	2.068525	FTMS + p NSI Full ms [335.00-1800.00]	130	155884.234375	1.0	N/A	N/A	N/A
1752414.875	2.08436333333	FTMS + p NSI Full ms [335.00-1800.00]	131	173092.984375	1.0	N/A	N/A	N/A
1889328.625	2.10053166667	FTMS + p NSI Full ms [335.00-1800.00]	132	219299.203125	1.0	N/A	N/A	N/A
1893843.5	2.11651666667	FTMS + p NSI Full ms [335.00-1800.00]	133	233495.71875	1.0	N/A	N/A	N/A
1886144.625	2.13274	FTMS + p NSI Full ms [335.00-1800.00]	134	231221.78125	1.0	N/A	N/A	N/A
1783079.875	2.148645	FTMS + p NSI Full ms [335.00-1800.00]	135	214891.234375	1.0	N/A	N/A	N/A
1862867.125	2.164865	FTMS + p NSI Full ms [335.00-1800.00]	136	198083.328125	1.0	N/A	N/A	N/A
1736453.375	2.18076333333	FTMS + p NSI Full ms [335.00-1800.00]	137	211231.578125	1.0	N/A	N/A	N/A
1795451.125	2.19717166667	FTMS + p NSI Full ms [335.00-1800.00]	138	214610.390625	1.0	N/A	N/A	N/A
1905188.0	2.212875	FTMS + p NSI Full ms [335.00-1800.00]	139	218230.078125	1.0	N/A	N/A	N/A
1763495.125	2.22871	FTMS + p NSI Full ms [335.00-1800.00]	140	204456.109375	1.0	N/A	N/A	N/A
1757879.0	2.24468166667	FTMS + p NSI Full ms [335.00-1800.00]	141	207530.0625	1.0	N/A	N/A	N/A
1792412.125	2.26081166667	FTMS + p NSI Full ms [335.00-1800.00]	142	185536.84375	1.0	N/A	N/A	N/A
2008707.0	2.276755	FTMS + p NSI Full ms [335.00-1800.00]	143	254153.53125	1.0	N/A	N/A	N/A
1600312.5	2.29227666667	FTMS + p NSI Full ms [335.00-1800.00]	144	187684.125	1.0	N/A	N/A	N/A
1656188.25	2.30866333333	FTMS + p NSI Full ms [335.00-1800.00]	145	183723.828125	1.0	N/A	N/A	N/A
1871113.5	2.32464833333	FTMS + p NSI Full ms [335.00-1800.00]	146	193118.5	1.0	N/A	N/A	N/A
1808432.25	2.34069833333	FTMS + p NSI Full ms [335.00-1800.00]	147	201119.515625	1.0	N/A	N/A	N/A
1717795.125	2.35698833333	FTMS + p NSI Full ms [335.00-1800.00]	148	171537.703125	1.0	N/A	N/A	N/A
1871959.125	2.37321333333	FTMS + p NSI Full ms [335.00-1800.00]	149	208158.078125	1.0	N/A	N/A	N/A
1883927.0	2.38926833333	FTMS + p NSI Full ms [335.00-1800.00]	150	213579.53125	1.0	N/A	N/A	N/A
1911118.5	2.40532333333	FTMS + p NSI Full ms [335.00-1800.00]	151	213050.890625	1.0	N/A	N/A	N/A
1188.11071777	2.42106666667	ITMS + c NSI d Full ms2 495.86@cid35.00 [125.00-1005.00]	152	88.5374526978	2.0	2.0	2	495.86129760742187
1632864.75	2.42529166667	FTMS + p NSI Full ms [335.00-1800.00]	153	175527.953125	1.0	N/A	N/A	N/A
1725117.5	2.43748166667	FTMS + p NSI Full ms [335.00-1800.00]	154	190874.109375	1.0	N/A	N/A	N/A
1701626.0	2.45351166667	FTMS + p NSI Full ms [335.00-1800.00]	155	184218.328125	1.0	N/A	N/A	N/A
1865405.625	2.46962833333	FTMS + p NSI Full ms [335.00-1800.00]	156	194721.96875	1.0	N/A	N/A	N/A
1657887.25	2.48556333333	FTMS + p NSI Full ms [335.00-1800.00]	157	187925.59375	1.0	N/A	N/A	N/A
1651076.625	2.50148	FTMS + p NSI Full ms [335.00-1800.00]	158	179492.046875	1.0	N/A	N/A	N/A
1599135.0	2.51761666667	FTMS + p NSI Full ms [335.00-1800.00]	159	187995.078125	1.0	N/A	N/A	N/A
1569535.5	2.53394166667	FTMS + p NSI Full ms [335.00-1800.00]	160	162372.671875	1.0	N/A	N/A	N/A
1616744.125	2.55019333333	FTMS + p NSI Full ms [335.00-1800.00]	161	183643.71875	1.0	N/A	N/A	N/A
1748727.375	2.56636666667	FTMS + p NSI Full ms [335.00-1800.00]	162	185673.9375	1.0	N/A	N/A	N/A
1587045.375	2.58254666667	FTMS + p NSI Full ms [335.00-1800.00]	163	153548.453125	1.0	N/A	N/A	N/A
1746406.25	2.598575	FTMS + p NSI Full ms [335.00-1800.00]	164	167074.09375	1.0	N/A	N/A	N/A
1711148.375	2.61418	FTMS + p NSI Full ms [335.00-1800.00]	165	191136.546875	1.0	N/A	N/A	N/A
1611420.875	2.630545	FTMS + p NSI Full ms [335.00-1800.00]	166	167185.625	1.0	N/A	N/A	N/A
1974247.375	2.64631	FTMS + p NSI Full ms [335.00-1800.00]	167	217837.28125	1.0	N/A	N/A	N/A
1806838.0	2.66180833333	FTMS + p NSI Full ms [335.00-1800.00]	168	215719.265625	1.0	N/A	N/A	N/A
1819347.25	2.677545	FTMS + p NSI Full ms [335.00-1800.00]	169	193055.859375	1.0	N/A	N/A	N/A
1735185.5	2.69363333333	FTMS + p NSI Full ms [335.00-1800.00]	170	191637.921875	1.0	N/A	N/A	N/A
1981810.25	2.70951666667	FTMS + p NSI Full ms [335.00-1800.00]	171	210549.8125	1.0	N/A	N/A	N/A
1849656.25	2.72545333333	FTMS + p NSI Full ms [335.00-1800.00]	172	150507.046875	1.0	N/A	N/A	N/A
1633086.125	2.74118166667	FTMS + p NSI Full ms [335.00-1800.00]	173	197294.609375	1.0	N/A	N/A	N/A
1589681.625	2.75738	FTMS + p NSI Full ms [335.00-1800.00]	174	180789.6875	1.0	N/A	N/A	N/A
1659401.0	2.7737	FTMS + p NSI Full ms [335.00-1800.00]	175	188956.078125	1.0	N/A	N/A	N/A
1777301.625	2.789805	FTMS + p NSI Full ms [335.00-1800.00]	176	205777.953125	1.0	N/A	N/A	N/A
1866213.5	2.80580166667	FTMS + p NSI Full ms [335.00-1800.00]	177	212719.5625	1.0	N/A	N/A	N/A
1813047.625	2.82180166667	FTMS + p NSI Full ms [335.00-1800.00]	178	168483.234375	1.0	N/A	N/A	N/A
2225557.25	2.83780666667	FTMS + p NSI Full ms [335.00-1800.00]	179	271246.15625	1.0	N/A	N/A	N/A
1845627.5	2.85309	FTMS + p NSI Full ms [335.00-1800.00]	180	208513.984375	1.0	N/A	N/A	N/A
1724253.5	2.869025	FTMS + p NSI Full ms [335.00-1800.00]	181	189151.671875	1.0	N/A	N/A	N/A
1677737.75	2.88497	FTMS + p NSI Full ms [335.00-1800.00]	182	194737.4375	1.0	N/A	N/A	N/A
1628312.5	2.90084833333	FTMS + p NSI Full ms [335.00-1800.00]	183	142084.296875	1.0	N/A	N/A	N/A
1649484.75	2.91705166667	FTMS + p NSI Full ms [335.00-1800.00]	184	155937.609375	1.0	N/A	N/A	N/A
2021030.0	2.93317833333	FTMS + p NSI Full ms [335.00-1800.00]	185	247285.9375	1.0	N/A	N/A	N/A
1480780.875	2.94865	FTMS + p NSI Full ms [335.00-1800.00]	186	150920.984375	1.0	N/A	N/A	N/A
1575843.25	2.96502333333	FTMS + p NSI Full ms [335.00-1800.00]	187	163223.0	1.0	N/A	N/A	N/A
1494264.25	2.98112166667	FTMS + p NSI Full ms [335.00-1800.00]	188	141225.25	1.0	N/A	N/A	N/A
1892761.75	2.99762	FTMS + p NSI Full ms [335.00-1800.00]	189	211760.765625	1.0	N/A	N/A	N/A
1835993.25	3.01301	FTMS + p NSI Full ms [335.00-1800.00]	190	223454.46875	1.0	N/A	N/A	N/A
1469997.625	3.02868666667	FTMS + p NSI Full ms [335.00-1800.00]	191	136359.703125	1.0	N/A	N/A	N/A
1845639.875	3.04497	FTMS + p NSI Full ms [335.00-1800.00]	192	201090.703125	1.0	N/A	N/A	N/A
2021158.375	3.06101333333	FTMS + p NSI Full ms [335.00-1800.00]	193	244229.0625	1.0	N/A	N/A	N/A
1622827.25	3.07676666667	FTMS + p NSI Full ms [335.00-1800.00]	194	172777.0625	1.0	N/A	N/A	N/A
1644793.125	3.092875	FTMS + p NSI Full ms [335.00-1800.00]	195	189651.21875	1.0	N/A	N/A	N/A
1499199.0	3.108865	FTMS + p NSI Full ms [335.00-1800.00]	196	174358.890625	1.0	N/A	N/A	N/A
1473429.875	3.12518666667	FTMS + p NSI Full ms [335.00-1800.00]	197	159244.046875	1.0	N/A	N/A	N/A
1601761.625	3.14147166667	FTMS + p NSI Full ms [335.00-1800.00]	198	172532.75	1.0	N/A	N/A	N/A
1597403.5	3.157565	FTMS + p NSI Full ms [335.00-1800.00]	199	175492.203125	1.0	N/A	N/A	N/A
1553104.5	3.173845	FTMS + p NSI Full ms [335.00-1800.00]	200	172222.265625	1.0	N/A	N/A	N/A
1666256.75	3.19023166667	FTMS + p NSI Full ms [335.00-1800.00]	201	182174.34375	1.0	N/A	N/A	N/A
1728723.625	3.20632	FTMS + p NSI Full ms [335.00-1800.00]	202	177480.5625	1.0	N/A	N/A	N/A
1819062.25	3.22259	FTMS + p NSI Full ms [335.00-1800.00]	203	189383.84375	1.0	N/A	N/A	N/A
1887504.875	3.23862166667	FTMS + p NSI Full ms [335.00-1800.00]	204	193313.5	1.0	N/A	N/A	N/A
1744978.625	3.254555	FTMS + p NSI Full ms [335.00-1800.00]	205	185175.53125	1.0	N/A	N/A	N/A
1671853.125	3.27070833333	FTMS + p NSI Full ms [335.00-1800.00]	206	177870.78125	1.0	N/A	N/A	N/A
1708701.75	3.28676333333	FTMS + p NSI Full ms [335.00-1800.00]	207	166795.640625	1.0	N/A	N/A	N/A
1600933.75	3.302985	FTMS + p NSI Full ms [335.00-1800.00]	208	187025.515625	1.0	N/A	N/A	N/A
1636372.75	3.31938166667	FTMS + p NSI Full ms [335.00-1800.00]	209	163167.21875	1.0	N/A	N/A	N/A
1765543.75	3.33553666667	FTMS + p NSI Full ms [335.00-1800.00]	210	172242.453125	1.0	N/A	N/A	N/A
1829546.25	3.35144	FTMS + p NSI Full ms [335.00-1800.00]	211	158982.953125	1.0	N/A	N/A	N/A
1554808.0	3.367345	FTMS + p NSI Full ms [335.00-1800.00]	212	132357.875	1.0	N/A	N/A	N/A
1764105.625	3.38354333333	FTMS + p NSI Full ms [335.00-1800.00]	213	170389.34375	1.0	N/A	N/A	N/A
1651254.0	3.39948	FTMS + p NSI Full ms [335.00-1800.00]	214	164017.96875	1.0	N/A	N/A	N/A
1582037.25	3.41565166667	FTMS + p NSI Full ms [335.00-1800.00]	215	145066.359375	1.0	N/A	N/A	N/A
1542697.5	3.431975	FTMS + p NSI Full ms [335.00-1800.00]	216	158915.34375	1.0	N/A	N/A	N/A
1664562.0	3.44833	FTMS + p NSI Full ms [335.00-1800.00]	217	160213.125	1.0	N/A	N/A	N/A
1746408.875	3.46466	FTMS + p NSI Full ms [335.00-1800.00]	218	180443.0625	1.0	N/A	N/A	N/A
1886366.625	3.48080666667	FTMS + p NSI Full ms [335.00-1800.00]	219	179255.640625	1.0	N/A	N/A	N/A
1854266.625	3.49705333333	FTMS + p NSI Full ms [335.00-1800.00]	220	195596.765625	1.0	N/A	N/A	N/A
1704163.5	3.51299333333	FTMS + p NSI Full ms [335.00-1800.00]	221	181567.359375	1.0	N/A	N/A	N/A
1663955.5	3.52911833333	FTMS + p NSI Full ms [335.00-1800.00]	222	188978.0	1.0	N/A	N/A	N/A
1911791.75	3.54554333333	FTMS + p NSI Full ms [335.00-1800.00]	223	216174.6875	1.0	N/A	N/A	N/A
1918156.75	3.56153166667	FTMS + p NSI Full ms [335.00-1800.00]	224	216560.78125	1.0	N/A	N/A	N/A
2080325.0	3.57745166667	FTMS + p NSI Full ms [335.00-1800.00]	225	224525.875	1.0	N/A	N/A	N/A
2375124.75	3.593165	FTMS + p NSI Full ms [335.00-1800.00]	226	242781.9375	1.0	N/A	N/A	N/A
2314940.5	3.60866	FTMS + p NSI Full ms [335.00-1800.00]	227	260725.8125	1.0	N/A	N/A	N/A
2282401.75	3.62422666667	FTMS + p NSI Full ms [335.00-1800.00]	228	262202.53125	1.0	N/A	N/A	N/A
2096808.0	3.63967666667	FTMS + p NSI Full ms [335.00-1800.00]	229	218000.21875	1.0	N/A	N/A	N/A
2323535.25	3.65551833333	FTMS + p NSI Full ms [335.00-1800.00]	230	264889.3125	1.0	N/A	N/A	N/A
4387.5546875	3.67114	ITMS + c NSI d Full ms2 437.85@cid35.00 [110.00-890.00]	231	433.762634277	2.0	2.0	2	437.84579467773437
2235141.0	3.67531	FTMS + p NSI Full ms [335.00-1800.00]	232	254299.15625	1.0	N/A	N/A	N/A
2343821.75	3.68670166667	FTMS + p NSI Full ms [335.00-1800.00]	233	270271.1875	1.0	N/A	N/A	N/A
2891315.0	3.70212	FTMS + p NSI Full ms [335.00-1800.00]	234	338740.28125	1.0	N/A	N/A	N/A
2549190.0	3.71734833333	FTMS + p NSI Full ms [335.00-1800.00]	235	246788.71875	1.0	N/A	N/A	N/A
2380.25927734	3.73256	ITMS + c NSI d Full ms2 515.82@cid35.00 [130.00-1045.00]	236	378.5574646	2.0	2.0	2	515.82281494140625
2112337.75	3.73682833333	FTMS + p NSI Full ms [335.00-1800.00]	237	220627.140625	1.0	N/A	N/A	N/A
7191.22167969	3.74851666667	ITMS + c NSI d Full ms2 421.76@cid35.00 [105.00-855.00]	238	920.5390625	2.0	2.0	2	421.7584228515625
2367729.0	3.75267833333	FTMS + p NSI Full ms [335.00-1800.00]	239	239048.6875	1.0	N/A	N/A	N/A
2864798.0	3.76385833333	FTMS + p NSI Full ms [335.00-1800.00]	240	224809.296875	1.0	N/A	N/A	N/A
3917829.75	3.77925666667	FTMS + p NSI Full ms [335.00-1800.00]	241	239881.390625	1.0	N/A	N/A	N/A
3595374.0	3.79415833333	FTMS + p NSI Full ms [335.00-1800.00]	242	251671.75	1.0	N/A	N/A	N/A
3278863.5	3.809305	FTMS + p NSI Full ms [335.00-1800.00]	243	237574.15625	1.0	N/A	N/A	N/A
2750517.25	3.824585	FTMS + p NSI Full ms [335.00-1800.00]	244	204766.453125	1.0	N/A	N/A	N/A
2604709.25	3.84000833333	FTMS + p NSI Full ms [335.00-1800.00]	245	186306.75	1.0	N/A	N/A	N/A
2519797.75	3.85550666667	FTMS + p NSI Full ms [335.00-1800.00]	246	161818.328125	1.0	N/A	N/A	N/A
2602109.75	3.87108833333	FTMS + p NSI Full ms [335.00-1800.00]	247	149658.515625	1.0	N/A	N/A	N/A
2931582.5	3.886645	FTMS + p NSI Full ms [335.00-1800.00]	248	162532.0	1.0	N/A	N/A	N/A
3058707.5	3.90177833333	FTMS + p NSI Full ms [335.00-1800.00]	249	177394.96875	1.0	N/A	N/A	N/A
2691913.0	3.91689666667	FTMS + p NSI Full ms [335.00-1800.00]	250	154918.5	1.0	N/A	N/A	N/A
2709710.75	3.93222833333	FTMS + p NSI Full ms [335.00-1800.00]	251	158041.0	1.0	N/A	N/A	N/A
3117773.5	3.94778333333	FTMS + p NSI Full ms [335.00-1800.00]	252	199560.234375	1.0	N/A	N/A	N/A
2853007.5	3.962735	FTMS + p NSI Full ms [335.00-1800.00]	253	172815.96875	1.0	N/A	N/A	N/A
3176258.5	3.978045	FTMS + p NSI Full ms [335.00-1800.00]	254	200026.296875	1.0	N/A	N/A	N/A
3629975.0	3.99310166667	FTMS + p NSI Full ms [335.00-1800.00]	255	210633.984375	1.0	N/A	N/A	N/A
3010473.5	4.00796166667	FTMS + p NSI Full ms [335.00-1800.00]	256	197018.671875	1.0	N/A	N/A	N/A
3187207.25	4.023015	FTMS + p NSI Full ms [335.00-1800.00]	257	208566.4375	1.0	N/A	N/A	N/A
3631968.0	4.03801666667	FTMS + p NSI Full ms [335.00-1800.00]	258	222176.65625	1.0	N/A	N/A	N/A
3457370.0	4.05268	FTMS + p NSI Full ms [335.00-1800.00]	259	207938.28125	1.0	N/A	N/A	N/A
3552696.5	4.06751333333	FTMS + p NSI Full ms [335.00-1800.00]	260	201368.390625	1.0	N/A	N/A	N/A
3383330.25	4.08215	FTMS + p NSI Full ms [335.00-1800.00]	261	186216.640625	1.0	N/A	N/A	N/A
3231022.25	4.09724666667	FTMS + p NSI Full ms [335.00-1800.00]	262	184480.8125	1.0	N/A	N/A	N/A
3836433.25	4.11190166667	FTMS + p NSI Full ms [335.00-1800.00]	263	209430.640625	1.0	N/A	N/A	N/A
3509679.5	4.12646833333	FTMS + p NSI Full ms [335.00-1800.00]	264	213572.34375	1.0	N/A	N/A	N/A
3241403.0	4.14124	FTMS + p NSI Full ms [335.00-1800.00]	265	178347.78125	1.0	N/A	N/A	N/A
3193200.75	4.15599166667	FTMS + p NSI Full ms [335.00-1800.00]	266	182358.625	1.0	N/A	N/A	N/A
3334533.75	4.17082666667	FTMS + p NSI Full ms [335.00-1800.00]	267	195264.734375	1.0	N/A	N/A	N/A
3614172.75	4.185675	FTMS + p NSI Full ms [335.00-1800.00]	268	242105.421875	1.0	N/A	N/A	N/A
3583300.5	4.20047833333	FTMS + p NSI Full ms [335.00-1800.00]	269	255058.171875	1.0	N/A	N/A	N/A
3790250.25	4.21513333333	FTMS + p NSI Full ms [335.00-1800.00]	270	244429.5625	1.0	N/A	N/A	N/A
3352726.0	4.22983833333	FTMS + p NSI Full ms [335.00-1800.00]	271	207316.984375	1.0	N/A	N/A	N/A
3550257.5	4.24462333333	FTMS + p NSI Full ms [335.00-1800.00]	272	222164.0	1.0	N/A	N/A	N/A
3406731.25	4.25909333333	FTMS + p NSI Full ms [335.00-1800.00]	273	209045.625	1.0	N/A	N/A	N/A
3449437.25	4.273805	FTMS + p NSI Full ms [335.00-1800.00]	274	207301.640625	1.0	N/A	N/A	N/A
3848573.0	4.28845166667	FTMS + p NSI Full ms [335.00-1800.00]	275	204041.828125	1.0	N/A	N/A	N/A
3646447.75	4.30296833333	FTMS + p NSI Full ms [335.00-1800.00]	276	200467.65625	1.0	N/A	N/A	N/A
3711398.75	4.31755833333	FTMS + p NSI Full ms [335.00-1800.00]	277	212123.078125	1.0	N/A	N/A	N/A
3031493.5	4.33193833333	FTMS + p NSI Full ms [335.00-1800.00]	278	189308.0	1.0	N/A	N/A	N/A
2652699.75	4.346765	FTMS + p NSI Full ms [335.00-1800.00]	279	170302.375	1.0	N/A	N/A	N/A
2790057.75	4.361865	FTMS + p NSI Full ms [335.00-1800.00]	280	169862.65625	1.0	N/A	N/A	N/A
2982497.0	4.37683166667	FTMS + p NSI Full ms [335.00-1800.00]	281	167125.0625	1.0	N/A	N/A	N/A
2956838.25	4.391625	FTMS + p NSI Full ms [335.00-1800.00]	282	170923.015625	1.0	N/A	N/A	N/A
3168797.25	4.40642666667	FTMS + p NSI Full ms [335.00-1800.00]	283	189791.75	1.0	N/A	N/A	N/A
2991656.75	4.42122166667	FTMS + p NSI Full ms [335.00-1800.00]	284	173226.078125	1.0	N/A	N/A	N/A
3297576.75	4.43595	FTMS + p NSI Full ms [335.00-1800.00]	285	212164.421875	1.0	N/A	N/A	N/A
3283410.25	4.45065166667	FTMS + p NSI Full ms [335.00-1800.00]	286	199096.359375	1.0	N/A	N/A	N/A
3829102.0	4.465315	FTMS + p NSI Full ms [335.00-1800.00]	287	214128.8125	1.0	N/A	N/A	N/A
3125405.0	4.47971833333	FTMS + p NSI Full ms [335.00-1800.00]	288	178853.109375	1.0	N/A	N/A	N/A
3699546.5	4.49447	FTMS + p NSI Full ms [335.00-1800.00]	289	204475.03125	1.0	N/A	N/A	N/A
3247100.0	4.50887833333	FTMS + p NSI Full ms [335.00-1800.00]	290	198043.203125	1.0	N/A	N/A	N/A
3438017.75	4.52356833333	FTMS + p NSI Full ms [335.00-1800.00]	291	199429.296875	1.0	N/A	N/A	N/A
3404789.25	4.53822666667	FTMS + p NSI Full ms [335.00-1800.00]	292	202901.15625	1.0	N/A	N/A	N/A
3618037.25	4.55285833333	FTMS + p NSI Full ms [335.00-1800.00]	293	219315.84375	1.0	N/A	N/A	N/A
3904386.75	4.56762833333	FTMS + p NSI Full ms [335.00-1800.00]	294	220643.640625	1.0	N/A	N/A	N/A
3882669.0	4.58212666667	FTMS + p NSI Full ms [335.00-1800.00]	295	226608.875	1.0	N/A	N/A	N/A
3352547.0	4.596635	FTMS + p NSI Full ms [335.00-1800.00]	296	200164.65625	1.0	N/A	N/A	N/A
3177930.0	4.61110833333	FTMS + p NSI Full ms [335.00-1800.00]	297	189865.703125	1.0	N/A	N/A	N/A
3318362.0	4.62571833333	FTMS + p NSI Full ms [335.00-1800.00]	298	193273.125	1.0	N/A	N/A	N/A
3413242.75	4.640295	FTMS + p NSI Full ms [335.00-1800.00]	299	198208.484375	1.0	N/A	N/A	N/A
3381048.25	4.65486166667	FTMS + p NSI Full ms [335.00-1800.00]	300	219514.34375	1.0	N/A	N/A	N/A
